Requirement,Type
"As a system administrator, I want to configure the application easily for different regions so that it can be adapted to local requirements.",PO
"As a user, I want the application to be accessible on different devices (desktop, laptop, tablet), so I can use it from anywhere.",PO
"As a system administrator, I want to be able to deploy the application on different operating systems (Windows, Linux), so I can choose the best platform for our needs.",PO
"As a user, I want the application to be available in multiple languages, so I can use it in my native language.",PO
"As a system administrator, I want to be able to easily install and configure the application on different environments (development, testing, production).",PO
"As a user, I want the application to be responsive and fast, so I don't have to wait for pages to load.",PO
"As a user, I want the application to be accessible on different devices and screen sizes, so I can use it comfortably regardless of my device.",PO
"As a system administrator, I want to be able to easily configure the application for different environments, so I can deploy it seamlessly.",PO
"As a system administrator, I want to be able to easily deploy the application to different environments, so I can manage the application lifecycle effectively.",PO
"As a user, I want the application to work seamlessly across different operating systems (Windows, macOS, Linux).",PO
"As a user, I want to be able to access the application from any device with an internet connection.",PO
"As a mobile user, I want the application to be responsive and adapt to different screen sizes.",PO
"As a user, I want the application to be available in multiple languages.",PO
"As a system administrator, I want to be able to deploy the application on different operating systems (Windows, Linux, macOS).",PO
"As a developer, I want the application to be easily installable on different environments.",PO
as a busy professional i want the app to provide a reliable reminder system for my upcoming donation appointments so that i never miss a donation due to my schedule,RL
as a energy saver i want a device that cools down any of my electronic devices so that they wont overheat,RL
as a healthcare provider i want the device to maintain a high level of accuracy over time so that patients can rely on their readings for making health decisions,RL
as a user i want the app to keep my data accurate and uptodate,RL
as an administrator i want to backup and restore the rulebase so that duo doesnt lose production knowledge,RL
"As a caregiver, I want caregiving apps to reliably track and manage the care of my loved ones.",RL
as ifa i want the system development implementation and maintenance to be outsourced,RL
"As a security officer, I need refactoring to be part of the development process, so that code quality is sustained.",RL
"As a developer, I want the system to be scalable to handle future growth.",RL
as a developer i want d files generation requests to be managed and cached so that duplicate requests do not cause performance issues,RL
as a donor i want the app to maintain a high level of performance during emergency situations so that it doesnt crash when its needed the most,RL
as a renter i want my drains to be automatically cleaned regularly so that water doesnt back up,RL
as a user i want the app to be energy efficient so that it doesnt drain my phones battery,RL
as a user i want the app to function well even during high traffic times so that my chats are not interrupted,RL
as a user i want the app to have a high level of uptime so that i can access banking services whenever i need them,RL
as a user i want the app to have high performance even during peak usage times so that my experience is not affected,RL
as a user i want the app to maintain a high level of performance even during major events like the finals so that i can access features without interruptions,RL
as a user i want the app to maintain high performance even during live broadcasts so that my experience is uninterrupted,RL
as a user i want the application to maintain high performance as it updates and expands,RL
as a user i want the platform to be responsive even during maintenance windows so that i can continue working,RL
as an online gamer i want the game to be free from latency issues so that my gaming experience is smooth and competitive,RL
as an online gamer i want the game to perform well even during peak usage times,RL
"As a manager, I want the system to handle a high number of users.",RL
"As a traveler, I want the booking confirmation to appear instantly, so that I feel confident my reservation is secure.",RL
"As a system administrator, I need optimized data processing during peak hours, so that system performance remains stable.",RL
"As a  journalist, I want article drafts to auto-save every 30 seconds so that I never lose work.",RL
"As a system administrator, I want to be able to configure the system to handle peak loads without performance degradation, so we can ensure a smooth user experience.",RL
"As a worker, I want the time-tracking app to save my clock-in immediately, so that I donâ€šÃ„Ã¶âˆšÃ‘âˆšÂ¥t miss hours.",RL
"As a student, I want exams to open on time during online tests, so that I donâ€šÃ„Ã¶âˆšÃ‘âˆšÂ¥t lose valuable minutes.",RL
"As a tester, I want load balancing to be implemented, so that no single server is overloaded.",RL
"As a user, I want the app to be tested thoroughly so that it works without issues.",RL
"As a  driver, I want car infotainment systems to block app installations while driving.",RL
"As a user, I want the application to be reliable and performant regardless of my location.",RL
"As a community organizer, I want community engagement platforms to be reliable for communication and event organization.",RL
"As a user, I want the application to work reliably and well no matter where I am so that I can depend on it.",RL
as a bank customer i want the banking app to be available 247 so that i can perform transactions anytime,RL
as a business owner i want the system to be reliable especially during the payroll processing period so that employees are paid without delays,RL
as a business professional i want the app to be reliable during business hours so that it doesnt disrupt my work,RL
as a cloud service user i want the service to be consistent in performance so that i can rely on it for my work,RL
as a cloud storage user i expect the service to be available whenever i need it with minimal downtime,RL
as a customer i want the app to be available 247 so that i can manage my finances at any time,RL
as a customer i want the app to be reliable especially during financial emergencies so that i can access my funds when needed,RL
as a customer i want the banking app to be consistently reliable during financial market fluctuations so that i can manage my investments effectively,RL
as a customer i want the service helpline to be available at all times so that i can get support when needed,RL
as a customer i want the service to be available 247 so that i can access it any time i need,RL
as a customer i want the service to be reliable during peak hours so that i can use it without disruptions,RL
as a data manager i want the system to accurately back up data so that no information is lost,RL
as a developer i want to make sure data exchanges are smooth so that information remains accurate during transfers,RL
as a environmentalist i want an ac unit to turn off when it reaches a certain temperature so that i will use less energy,RL
as a environmentalist i want the tech in the home to be as efficient as possible so that the energy lost due to heat can be minimized,RL
as a fan i want the app to be reliable especially during hightraffic events like derby matches so that i dont miss out on live updates,RL
as a frequent traveler i want the app to function well even with poor internet connectivity so that i can communicate without interruption,RL
as a healthcare provider i want the system to be reliable especially during critical care situations so that i can access patient information without interruptions,RL
as a healthcare provider we need reliable access to patient records at all times,RL
as a hospital it manager i want to ensure system uptime is maximized so that healthcare providers have continuous access to critical patient information,RL
as a hotel it manager i want to ensure the system is regularly backed up so that we do not lose reservation data,RL
as a hotel manager i want the system to be scalable so that it can accommodate growth and changes in our hotel operations over time,RL
as a librarian i want the system to back up data regularly so that no information is lost,RL
as a librarian i want the system to be reliable during peak hours so that service is not disrupted,RL
as a library member i want to be able to access to the platform at any time so that i can perform preservation,RL
as a mobile app user i want the app to maintain my session even if i switch to other apps temporarily,RL
as a parent i want the wifi to turn off at bedtime so that my kids wont be using it too late,RL
as a parent i want wifi to turn off at a certain hour so that children get off their devices,RL
as a payroll administrator i want the system to be reliable especially on payday so that employees receive their salaries without delay,RL
as a payroll administrator i want the system to have a backup and recovery solution so that payroll data is not lost in case of technical issues,RL
as a remote worker i need the software to remain operational even with intermittent internet connectivity,RL
as a remote worker i want the communication tool to function in areas of low bandwidth so that i stay connected everywhere,RL
as a remote worker i want the communication tool to work effectively in areas with low internet bandwidth,RL
as a researcher i want the platform to be regularly backed up so that my data is not lost in case of technical issues,RL
as a researcher i want the software to process data accurately so that my research is reliable,RL
as a software architect i need the system to be resilient to failures and capable of quick recovery,RL
as a software architect i need the system to recover quickly from any faults or crashes,RL
as a software architect i want the system to be scalable so that it can handle growing user demands,RL
as a staff member i want the emr to be consistent for all patients across all department so that patient safety is ensured,RL
as a streaming service user i want the platform to maintain high video quality even during peak hours so that my viewing experience is consistent,RL
as a student i need the educational platform to be consistently available especially during exam periods,RL
as a student i want the cms to be available during offhours so that i can study at any time,RL
as a system administrator i want the network to be faulttolerant so that services are not disrupted,RL
as a system i want to automatically recover from minor failures so that system uptime is maintained,RL
as a system i want to distribute resources dynamically so that services are always available,RL
as a system i want to handle system updates without impacting users so that they can continue using the service,RL
as a system operator i want the software to recover quickly from crashes so that downtime is minimized,RL
as a teacher i want the system to automatically back up data so that student information is not lost in case of a system failure,RL
as a teacher i want the system to be reliable during peak usage times such as report card season so that i can meet deadlines without technical issues,RL
as a teacher i want the system to be scalable so that it can accommodate more students and classes as the school grows,RL
as a umd employee i want the system to always be available so that i can access it whenever i need,RL
as a university department we want the cms to be scalable so that it can handle an increasing amount of content and users as the university grows,RL
as a user i expect the app to recover my data in case of an unexpected shutdown,RL
as a user i expect the system to be available at all times even during maintenance or updates,RL
as a user i expect the system to be consistently available especially during business hours,RL
as a user i expect the website to be available 999 of the time even during peak hours,RL
as a user i should be able to use the system at any given time,RL
as a user i want the app to be available and functioning properly at all times especially during emergencies,RL
as a user i want the app to be optimized for battery usage so that i can use it for long periods without draining my phones battery,RL
as a user i want the app to be optimized for low battery usage so that i can use it even when my phones charge is low,RL
as a user i want the app to consistently function without crashes so that i can rely on it every time i need to manage my donations,RL
as a user i want the app to have a low data mode so that i can use it even with limited data availability,RL
as a user i want the app to have a low data usage mode so that i can conserve data while using it on the go,RL
as a user i want the app to have high availability so that i can use it anytime without interruptions,RL
as a user i want the app to perform well even under poor internet connectivity so that i can access it from locations with weak signals,RL
as a user i want the application to maintain its performance level regardless of updates or new features added,RL
as a user i want the application to save my progress automatically in case of a crash,RL
as a user i want the data hub to be reliable especially during peak usage times like grant deadlines so that i can access data without interruptions,RL
as a user i want the glucose measurement device to have a long battery life so that i can rely on it throughout the day,RL
as a user i want the platform to have high uptime so that i can access my data and other resources without disruptions,RL
as a user i want the system to be error tolerant so that minor mistakes dont lead to significant issues,RL
as a user i want the website to be reliable especially during sales or high traffic periods so that it doesnt crash when im shopping,RL
as a user i want the website to have high uptime so that i can access it any time i need,RL
as a user i want to be able to access the system so that i have maximum availability and ensure my users can use the system at any time,RL
as a user i want to be assured that the service is continuously updated for accuracy and efficiency so that i can rely on its performance,RL
as a user i want to be sure that existing metadata corresponding to the file is not lost when moving a file to a new location,RL
as a user in a rural area i need the app to function properly even with lowquality internet connections,RL
as an accountant i want the system to automatically back up payroll data so that we can recover information in case of a system failure,RL
as an app developer i want to ensure that application creation fails if any of its datasets cannot be created,RL
as an app developer i want to ensure that application redeployment fails if any of its datasets cannot be reconfigured,RL
as an educator i want the learning platform to be reliable so that its always available for students,RL
as an event planner i want the ticketing system to be reliable especially during highdemand events so that ticket sales are not disrupted,RL
as an hr manager i want the system to be scalable so that it can handle more employees as the company grows,RL
as an it manager i need the system to be scalable to accommodate growing numbers of users,RL
as an it manager i want the system to support data backups so that patient data is not lost in case of a system failure,RL
as an it professional i want the system to recover quickly from failures so that business continuity is ensured,RL
as an online tutor i want the teaching platform to be available round the clock so that students can learn anytime,RL
as the ifa i want the system to be reliable while being used by at least 50000 people at the same time so that the user experience will be satisfactory,RL
"As a admin, I want to be informed when critical issues occur.",RL
"As a developer, I need to trust that data will not be lost unexpectedly.",RL
"As a end-user, I need consistent data backups to maintain trust in the system.",RL
"As a developer, I want to be notified when a system failure happens to ensure immediate response.",RL
"As a manager, I want the system to provide uptime of 99.99% to avoid unexpected downtimes.",RL
"As a admin, I need consistent data backups to maintain trust in the system.",RL
"As a store owner, I want the checkout process to be fast, so that customers donâ€šÃ„Ã¶âˆšÃ‘âˆšÂ¥t abandon their carts.",RL
"As a parent, I want the app to work well even with poor internet, so that I can check my child's progress.",RL
"As a reader, I want the app to remember where I left off, so that I donâ€šÃ„Ã¶âˆšÃ‘âˆšÂ¥t lose my place.",RL
"As a driver, I want the map app to always show my current location, so that I can navigate accurately.",RL
"As an online student, I want the class platform to be available during scheduled sessions, so that I can attend on time.",RL
"As a buyer, I want my order history to be saved correctly, so that I can track my purchases.",RL
"As a user, I want the app to resume where I left off after a crash, so that I donâ€šÃ„Ã¶âˆšÃ‘âˆšÂ¥t lose my progress.",RL
"As a caregiver, I want emergency contacts to always be accessible, so that I can react quickly if needed.",RL
"As a photographer, I want saved edits to be reliable, so that I donâ€šÃ„Ã¶âˆšÃ‘âˆšÂ¥t lose hours of work.",RL
"As a project lead, I want reports to always generate successfully, so that I can share updates with stakeholders.",RL
"As a manager, I want the system to have high uptime, so that users can rely on it.",RL
"As a business analyst, I need regular system backups, so that data can be restored in case of failure.",RL
"As a team leader, I need the system to handle unexpected spikes in usage, so that it remains operational.",RL
"As a project owner, I want recovery procedures to be documented, so that downtime is minimized.",RL
"As a security officer, I need maintenance windows to be scheduled, so that disruptions are predictable.",RL
"As a user, I want the app to provide feedback on actions so that I know if they were successful.",RL
"As a user, I want the app to provide error messages so that I can fix issues quickly.",RL
"As a user, I want the app to save my preferences so that I don't have to set them every time.",RL
"As a user, I want the app to save my work automatically so that I don't lose progress.",RL
"As a user, I want the app to back up my data so that it can be restored if needed.",RL
"As a user, I want the app to update regularly so that it stays reliable.",RL
"As a user, I want the app to recover quickly from crashes so that I can continue using it.",RL
"As a user, I want the app to handle high traffic so that it doesn't slow down.",RL
"As a user, I want the app to run smoothly so that I don't encounter errors.",RL
"As a user, I want the app to be reliable so that I can depend on it.",RL
"As a user, I want the app to provide status updates so that I know if it is working properly.",RL
"As a user, I want the app to be monitored so that issues are detected quickly.",RL
"As a user, I want the app to have an uptime guarantee so that I can use it consistently.",RL
"As a user, I want the app to recover data after unexpected shutdowns so that my information is safe.",RL
"As a user, I want the app to provide a retry option for failed tasks so that I can complete them without starting over.",RL
"As a user, I want the app to send me alerts for critical system updates so that I can ensure it's always up-to-date.",RL
"As a user, I want the app to have redundant servers so that it remains available during outages.",RL
"As a user, I want the app to handle errors gracefully so that I have a smooth experience.",RL
"As a user, I want the app to perform regular health checks so that it runs optimally.",RL
"As a user, I want the app to have auto-scaling capabilities so that it can handle increased load.",RL
"As a user, I want the app to support cloud backups so that I can restore data if needed.",RL
"As a  bank customer, I want ATM withdrawals to work during outages so that I can access cash.",RL
"As a  patient, I want my glucose monitor to store data offline so that I donâ€šÃ„Ã´t lose readings.",RL
"As a  teacher, I want quiz answers to auto-save so that students donâ€šÃ„Ã´t lose progress.",RL
"As a  gamer, I want cloud saves to restore progress so that I never lose achievements.",RL
"As a  farmer, I want irrigation systems to switch to manual mode if sensors fail.",RL
"As a  streamer, I want backup internet routing so that my live stream stays online.",RL
"As a  parent, I want baby monitors to work on battery power so that I can check on naps.",RL
"As a  student, I want offline access to textbooks so that I can study anywhere.",RL
"As a  trader, I want order retries if the network drops so that I donâ€šÃ„Ã´t miss trades.",RL
"As an  EV driver, I want charging stations to stop if errors occur so that my car isnâ€šÃ„Ã´t damaged.",RL
"As an  architect, I want auto-recovery for crashed designs so that I donâ€šÃ„Ã´t lose hours of work.",RL
"As a  nurse, I want backup pagers if call systems fail so that I respond to emergencies.",RL
"As a  journalist, I want drafts to save locally so that I never lose breaking news updates.",RL
"As a  drone operator, I want auto-return if signal is lost so that I donâ€šÃ„Ã´t lose the device.",RL
"As a  patient, I want insulin pumps to alarm if blocked so that I stay safe.",RL
"As a  retailer, I want cash payments as a backup so that sales continue during card outages.",RL
"As a  bank customer, I want my transactions to process accurately even during maintenance so that I donâ€šÃ„Ã´t lose money.",RL
"As a  patient, I want my heart rate monitor to stay connected during Wi-Fi outages so that my data isnâ€šÃ„Ã´t lost.",RL
"As a  teacher, I want exam answers to auto-save every minute so that I donâ€šÃ„Ã´t lose progress if the system crashes.",RL
"As a  gamer, I want my game progress to save locally so that I donâ€šÃ„Ã´t lose it if the internet goes down.",RL
"As a  driver, I want my navigation app to cache maps so that I donâ€šÃ„Ã´t get lost in areas with no signal.",RL
"As a  farmer, I want my irrigation system to default to manual mode if sensors fail so that my crops arenâ€šÃ„Ã´t damaged.",RL
"As a  streamer, I want my broadcast to switch to backup servers if the primary fails so that my viewers arenâ€šÃ„Ã´t interrupted.",RL
"As a  parent, I want my baby monitor to work during power outages so that I can always check on my child.",RL
"As a  student, I want my cloud documents to sync offline edits so that I donâ€šÃ„Ã´t lose my work.",RL
"As a  trader, I want my trading app to retry failed orders so that I donâ€šÃ„Ã´t miss opportunities.",RL
"As a user, I want the system to auto-save my work every 5 minutes to prevent data loss.",RL
"As a user, I want redundant servers to keep the app running during hardware failures.",RL
"As a customer, I want error-free order processing even during inventory updates.",RL
"As a user, I want the app to handle abrupt shutdowns gracefully (e.g., unsaved data recovery).",RL
"As a  architect, I want rendering software to resume from the last checkpoint after crashes.",RL
"As a  bank customer, I want transactions to process accurately even during system maintenance.",RL
"As a  doctor, I want EHR systems to log all actions for audit trails during outages.",RL
"As a  driver, I want EV charging stations to stop power flow if faults are detected.",RL
"As a  driver, I want navigation apps to cache maps for areas with poor signal.",RL
as a customer i want the ability to block my card through the app so that i can prevent misuse if its lost or stolen,SE
as a home occupant i want a security camera and a siren which can be remotely monitored so that it would be good for chasing thieves away,SE
as a home occupant i want a subtle reminder should i leave a door unlocked or open so that im protected from intruders,SE
as a home occupant i want ability to lock all doors and windows instantly phone app or hot button so that to keep occupants safe,SE
as a home occupant i want automatic locking doors at night so that i do not forget to lock the doors,SE
as a home occupant i want my smart home to make a sound to warn me if my door is not locked at night so that my home remains secure,SE
as a home occupant i want security footage of visits by humans only so that i can save time when reviewing the footage,SE
as a home owner i want an alarm system that i can monitor anywhere so that i can make sure everyone is safe,SE
as a home owner i want an alarm that will detect leaks in the house so that i can stay safe,SE
as a home owner i want automatic door lock so that dont need keys,SE
as a home owner i want doors to unlock automatically if i am specifically detected so that i dont need to deal with keys,SE
as a home owner i want my doors to lock if an intruder comes in so that they cannot escape and will be caught by police,SE
as a home owner i want my home to alert me to changing environmental issues so that i can keep my family safe,SE
as a home owner i want my smart home to alert me to reports of crimes in the area so that i can be on alert for security,SE
as a home owner i want my smart home to lock all doors at once so that i dont have to worry about locking all the doors,SE
as a home owner i want my smart house to put the shutters down when a storm is coming so that my house is protected,SE
as a home owner i want remote access to outlets so that i can turn them off to avoid energy vampires,SE
as a husband i want to have a monitoring system for my kitchen equipments so that it helps my wife to be safe,SE
as a neighbor i want my smart home to alert neighbors to emergencies in my home so that they will be safe as well,SE
as a parent i want alerts if my toddler is where she shouldnt be so that i can make sure she is safe,SE
as a parent i want socket adapters so that accidental shocks are avoided,SE
as a parent i want the ability to lock all doors on command so that i can put the house into lock down to protect my kids,SE
as a parent i want the front and back doors to automatically lock after 6pm so that if we forget to close them we dont have to worry about burglars,SE
as a user i want to either keep a logbook entry private or share it with individuals rather than groups,SE
as an admin i want to monitor failed login attempts so that i can identify potential issues or abuse,SE
as an app user i want to be able to display the terms of use and data privacy information at any time,SE
as an ifa administration i want to have access to teams budget over web application so that i can to continuously control budgeting system,SE
as an administrator i want to have support for the sso tool so that i dont have to spend time on managing login data,SE
"As a  retailer, I want PCI-DSS compliance for all credit card processing.",SE
"As a project owner, I want security patches to be applied regularly, so that vulnerabilities are minimized.",SE
"As a manager, I want dependency updates to resolve security vulnerabilities promptly.",SE
"As a developer, I want the system to be secure and protected from vulnerabilities.",SE
"As a developer, I want the app to use environment variables so that configurations are managed securely.",SE
as a pet owner i want my smart windows to have sensors that automatically close when an animal gets too close so that my pets will be safe,SE
"As a traveler, I want booking confirmations to always be sent, so that I know my plans are secure.",SE
"As a user, I want the app to store my data securely so that it is not lost.",SE
"As a user, I want the app to provide security updates regularly so that it remains secure.",SE
"As a user, I want the app to provide a secure environment for financial transactions so that my payments are safe.",SE
"As a user, I want the app to support secure downloads so that I can install updates safely.",SE
"As a  farmer, I want SMS weather alerts if apps fail so that I can protect crops.",SE
"As a traveler, I want offline access to maps and bookings when internet is unavailable.",SE
"As a user, I want automatic retries for failed payment transactions.",SE
"As a  parent, I want smart home locks to default to manual keys during Wi-Fi drops.",SE
"As a patient, I want my medical records to be securely stored so that they are always available to my doctor.",SE
"As a scientist, I want my research data to be stored securely so that it is not lost or corrupted.",SE
"As a patient, I want my medical records to be securely stored and accessible when needed.",SE
"As a security guard, I want surveillance systems to reliably record and store video footage.",SE
"As a scientist, I want my research data to be safe and secure so that I don't lose any valuable information.",SE
"As a developer, I want the system to be secure so that user data and system integrity are protected.",SE
as a as a parent i want home with security so that so that i can monitor nannies and my children while away,SE
as a bank customer i expect all my online transactions to be secure and traceable,SE
as a business account holder i want the app to support multiple user access so that my team can manage our business banking,SE
as a business owner i need to modify user access levels easily in the software,SE
as a business owner i want to set up different access levels for the system so that employees can view only the information relevant to their role,SE
as a business user i want the service to comply with data protection regulations so that i can use it for workrelated documents without security concerns,SE
as a busy person i want a keyless entry system so that i dont have to spend time fiddling with the keys to my home,SE
as a cautious person i want security cameras everywhere so that i can feel safe,SE
as a collection curator housed in the protected data network i want my collection to be encrypted with a key maintained on that server a checksum made and stored of the encrypted file and the encrypted file replicated to our remote storage site,SE
as a collection curator i want to be able require authentication to access objects unless the request is coming from a whitelisted ip address list of addresses like the special collections reading room or range,SE
as a collection curator i want to restrict access to my collection or items to duke ip addresses,SE
as a collection curator i want users to be able to contact me directly from the repository to request access to restricted objects,SE
as a compliance officer i want to ensure the system adheres to healthcare regulations so that we are consistently compliant with legal standards,SE
as a computer user i want to be alerted every time someone tries to use my computer so that i know if someone is invading my privacy,SE
as a computer user i want to be alerted when my computer has been breached when i am not around it so that i can keep my information safe,SE
as a content creator i need the platform to protect the integrity of my uploaded content,SE
as a content creator i want the platform to protect my content from unauthorized use so that my intellectual property rights are respected,SE
as a content moderator i want the platform to automatically detect inappropriate content so that the community remains safe,SE
as a cornell faculty member i want to login remotely to the repository using shibboleth so that i can get remote access to cornell campusonly content,SE
as a customer i want the app to provide secure online banking so that i can perform transactions safely,SE
as a customer i want the online store to handle my payments securely so that my financial information is safe,SE
as a customer i want to be able to pay securely and conveniently,SE
as a customer i want to create a customer portal user account so that i can log on to the customer portal and perform transactions that first require user authentication,SE
as a customer i want to temporarily lock my debit card through the app so that i can prevent unauthorized use if its misplaced,SE
as a customer i want to use facial recognition for secure login so that i can access my account quickly and securely,SE
as a cybersecurity analyst i want the system to log all access attempts so that potential security breaches can be tracked,SE
as a data contributor i want the platform to ensure that my datasets are only used in compliance with their licenses so that my intellectual property rights are respected,SE
as a data contributor i want to set access levels for my datasets so that i can control who views or uses them,SE
as a data manager i want to know the security requirements of the data so that i can check whether the data can be kept secure,SE
as a data manager i want to plan the anonymization of data so that we protect the privacy of the people participating in the research as good as possible and still ensure reusability of data,SE
as a dbir administrator i want to administrate patron accounts for purpose of closing accounts viewing subscriptions changing subscriptions resetting passwords changing email address etc,SE
as a dbir administrator i want to have a personal account with the ability to change passwords to make them more secure or to retrieve forgotten ones,SE
as a dbir administrator i want to login to personal account with access to authorized functions,SE
as a dbir administrator i want to set up or delete accounts for other administrators with various levels of permission,SE
as a depositor i want to allow my collaborators privileged access to datasets so that we continue to have a productive relationship,SE
as a depositor i want to apply licenses to datasets so that my ip rights are protected appropriately,SE
as a depositor i want to have guarantees about data integrity so that i can use my data in the future and i can fulfil funder requirements for archival,SE
as a depositor i want to place data under an embargo so that my right of first use is protected and i can fulfil my confidentiality responsibilities,SE
as a developer i want to automate testing for data validation so that i ensure system accuracy,SE
as a developer i want to be able to generate testcases for security testing so that i can ensure that the software is secure and protects user data,SE
as a developer i want to deploy the ez event site bundle on production server protected behind a htaccess password for the ez conference website,SE
as a developer i want to ensure data consistency across distributed services so that users always have accurate information,SE
as a developer i want to ensure data consistency across transactions so that no discrepancies occur,SE
as a developer i want to have my app to be granted access to several operating system features,SE
as a diabetic patient i want the device to securely store my personal health information so that my privacy is protected,SE
as a director of research integrity i want to access reports containing details of research projects in which data are classified as sensitive or highly sensitive so that i can confirm security protocols are applied to these data,SE
as a doctor i should not be able to see medical records of patients that im not assigned to so that the patients confidentiality is maintained,SE
as a doctor i want the patient to be excluded from viewing any information that is not intended to be viewed by them so that there are no security risks,SE
as a doctor i want to only access medical files from my own patients so that no other doctor can access the medical files of my patients,SE
as a donor i want my personal and health information to be encrypted so that my data cannot be intercepted or misused,SE
as a electronics user and pet owner i want sockets that automatically cut off power supply if less than a certain voltage is being drawn so that when pets chew wire theyre less likely to be electrocuted so that my small pets can be safer from electrocution,SE
as a fabs user i want to have readonly access to dabs so that i can view dabs pages without wanting two sets of permissions,SE
as a faculty member i want to have granular access controls for my documents so that i can manage who can view or edit them,SE
as a fan i want the app to provide a feature to buy and resell tickets securely so that i can attend games that i otherwise might miss,SE
as a fan i want the app to securely store my payment information for quick purchases so that i can buy merchandise and tickets easily,SE
as a fan i want to securely log in with my social media accounts so that i can use the apps social features quickly and easily,SE
as a funder i want to know how secure data is so that i can ensure legal compliance,SE
as a girl i want outlet control so that i can turn off power to an outlet if i leave my hair straightener plugged in after i leave,SE
as a grandparent i want my cabinets to automatically lock so that the grandchildren are safe,SE
as a guest i want to securely make payments for my reservations so that my financial information is protected,SE
as a head of the family i want security system to alert me of unknown people getting into my house at my absence so that to safe guard my family members,SE
as a healthcare professional i want all data transmissions from the app to the central database to be secure so that we maintain patient confidentiality,SE
as a healthcare provider i want to access donor information quickly so that i can ensure the safety and suitability of blood donations,SE
as a healthcare provider i want to securely message colleagues about patient care so that we can collaborate effectively while maintaining privacy,SE
as a high net worth individual who values privacy i want the banking system to provide toplevel security features like biometric authentication advanced encryption strict data protection policies and a dedicated customer service team that can handle my unique needs so that my financial information is kept safe and secure,SE
as a home i want my smoke alarms would beep when the battery gets low so that my family is safe from fires,SE
as a home occupant i want a perimeter alarm that will alert me if anyone enters my yard so that ill be safe from intruders,SE
as a home occupant i want a pet door that will open for my pet and lock afterwards so that my pet can go potty but my home is secure,SE
as a home occupant i want a security system which can be set to account for visitors so that a person opening the door to the wrong person would set an alarm if the occupant did not clear that persons entry,SE
as a home occupant i want all power strips to automatically shut off when plugged in devices are fully charged so that eliminate wasting energy via plugs that arent charging anything,SE
as a home occupant i want appalarm controlled retractable stairs so that the second floor can be secure in case of zombie attacks or a swat raid,SE
as a home occupant i want automatic locks on the doors so that i ensure there will never be human error,SE
as a home occupant i want controllable applicances so that i can control the power supply to all appliances and turn it off in order to save energy,SE
as a home occupant i want doors that automatically lock within 1 minute after they have been shut so that i never have to worry about forgetting to lock my doors,SE
as a home occupant i want doors that lock after half an hour so that i am safe,SE
as a home occupant i want doors to be auto locked when entering or leaving the home so that i am protected from a robbery or forgetting to lock the doors,SE
as a home occupant i want every single item and appliance in my home to have advanced safety features in the event of a break in since every item is smart all my appliances my tv etc should be able to communicate or send alerts to my smart phone in the event that someone in my house is tampering with them maybe a smart phone alert when something becomes unplugged for example combined with a full series of motion sensor and body heat detection features indoors and outdoor security features such as automated cameras i envision the future of the ultimate secure smart home so that our home can be safe and burglary free,SE
as a home occupant i want i want to secure my house during night so that i can sleep peacefully,SE
as a home occupant i want improved security so that i do not have to worry about a burglar,SE
as a home occupant i want it automatically replenishes itself at lunch time of pet so that my home will be secure from burgulars,SE
as a home occupant i want keyless digital door lock so that i dont have to carry keys with me,SE
as a home occupant i want my doors to lock up automatically after a mentioned time so that we can prevent theft and other burglary,SE
as a home occupant i want my doors to sense automatically when my smart phone is within a certain distance from the front door and unlock themselves so that i dont have to use a key anymore,SE
as a home occupant i want my electronic appliances to automatically turn themselves off so that i can save on electricity,SE
as a home occupant i want my house to automatically lock all windows and doors once i close the front door and step on the front steps outsidde so that i can always be comfortable,SE
as a home occupant i want my smart home fully secured so that we can get notification if thief in home,SE
as a home occupant i want my smart home to alert me if movement is detected outside so that i can be safe at night from prowlers,SE
as a home occupant i want my smart home to automatically dial 911 if forced entry is detected whether an alarm is activated or not so that i can feel safe all the time,SE
as a home occupant i want my smart home to collect and manage the various power requirements of my smart appliances heating and cooling technologies and my security and access systems and i wish to be alerted via text message via mobile phone when powerrelated problems spikes or failures occur so that i may have alternate backup power sources automatically activated or manually activate them myself,SE
as a home occupant i want my smart home to have a payment system near the front door that can only be accessed by an occupant so that i can pay delivery drivers without opening the door and stay safe,SE
as a home occupant i want my smart home to turn off the heat if anything is blocking the heater so that my house will not burn down,SE
as a home occupant i want my television to automatically turn off if i fall asleep on the couch so that it doesnt waste extra electricity,SE
as a home occupant i want my things in home to be safe and turned off all lights so that make safe of all my things on home and live safe,SE
as a home occupant i want my wall to act as a in built wifi router so that i can access the internet without using an external router,SE
as a home occupant i want my wifi router to notify me on my smartphone if someone tried to unauthorizedly access it so that so that i am safe from hackers and intruders,SE
as a home occupant i want my windows to set an alarm if they are opened after a certain time when the alarm is set so that i can be safe,SE
as a home occupant i want outdoor motion detectors so that i have an added measure of security of the property,SE
as a home occupant i want proper shutdown my personal computer so that secure my personal computer,SE
as a home occupant i want safety locks so that so my kids are safe,SE
as a home occupant i want secure doggy door so that it will only unlock for my dogs,SE
as a home occupant i want security system that tracks my belongings so that i can keep an accurate inventory assist the authorities if there is a theft or remember to retrieve what i have loaned out,SE
as a home occupant i want smart breakfast appliances so that my home will be secure from burgulars,SE
as a home occupant i want smart locks so that my home is secure,SE
as a home occupant i want the doors to lock when im gone from the house for 10 minutes so that my house will be safe,SE
